Cycle,A,B,C,D,E,F,G,H
0,1668.1236708147057,-0.5390921341196666,-1.7179503562201663,3.175697485640235,8.158547851536174,-2.857823872488852,-1.6972861393382779,6.919092040913217
1,1671.2694713663864,9.986416667736876,-0.46730420103901515,0.5440314435352924,-0.5750428955865967,1.0555167930668778,8.394204414940798,6.745610666621454
2,1657.7665641029298,-3.6827858156135167,3.806055556015254,1.7279570663076775,0.20035127147728637,-0.35090224439118156,-3.5021937620001395,-0.8500145159006323
3,1656.7601828142058,4.270487142059851,7.9910583430546165,-4.2121123283343245,-4.714358852655944,5.046312886530295,0.35000388935540805,0.23812471060083595
4,1659.984721372701,8.834927306849345,3.210924819214938,0.7833022371220775,-1.3110765625972602,-1.268726221527427,1.222102734815011,6.6300829672986055
5,1651.9441482361553,-0.13676757589896216,0.6583898910551698,7.952486921181942,4.261086100092067,5.363081603869938,1.3452102678907298,-1.7111173706261957
6,1655.271966034996,-0.5465162417628653,-4.294432354035791,-3.0122749970540372,3.278254327444108,9.80851370651674,0.7983339343660099,-4.115777998748285
7,1660.1695457867015,2.4899204892561873,4.086240518752865,8.15957564649377,5.863229969610485,-2.9270662652102257,-4.983605737642119,1.1926565015285409
8,1650.218620635655,1.7976734964429282,9.739781669606344,-2.718443003303459,0.7517810406729168,-2.092719408007376,-1.4940183652768821,2.007852107075431
9,1657.916564748781,-2.9410592261066175,6.114171134146671,6.537700559364563,4.471746287875838,6.47367119865884,9.333544822206587,-4.892736136329629
10,1651.7987900906821,-4.6467341157303546,1.4011582942560512,9.961770132715746,7.197625779995535,7.317852875674282,5.674866274700534,8.158738831987133
11,1649.9600670832508,-1.771840029194097,0.30608802756742914,3.4704128425162413,5.242918319259209,-3.5586116312369698,2.89365938388672,0.15716041840444017
12,1651.9633541647793,2.407228637525481,-1.2422415557583468,-3.5359616058678993,9.85903953072196,-1.3192006347940346,2.041488480151818,1.2372722372026201
13,1652.864008797942,9.632128230588906,7.585999895909646,6.817674241695487,-1.6422795137183845,0.20589893653540248,0.30801804813987754,2.5639399672446244
14,1654.6160157177121,-1.425716960572625,0.08628843656885543,3.246653915558994,-4.966822359806342,1.554068254218576,6.461903854282504,-2.3014384688932426
15,1658.3616336689834,-3.4490423419793736,6.543030816739606,4.638758828638204,-2.0722220851629123,7.278475443942028,-3.090204637510454,0.6174080307161907
16,1661.1832738089429,7.003688780769991,3.0703433437984007,6.458492844227958,-2.1139843116309844,-2.189005903600367,9.859465572623547,-1.2431925275619538
17,1658.585943325938,5.069677461523444,8.240040877976616,0.7664587610602966,7.449729176915422,8.74813351576126,8.664973461354538,3.8867427262770917
18,1654.4556527319778,9.273297553502042,-0.9245462120556445,7.922811597508739,7.7215346604039645,8.736629683257176,-4.981080439631338,6.2245929012416
19,1654.5065027893613,5.48583192261229,1.6705065157277508,7.343473981731988,6.740650601413563,7.339287427640347,1.9036976792242122,3.0414372911948195
20,1652.9331069631337,5.69638708355421,-1.8367027148372115,-2.7047361214408876,6.10985712493761,-0.3321153085644415,2.8665920676986447,-3.2315229591178185
21,1657.4682274779059,1.5390564465032703,3.865339292573518,2.8641366813674125,-0.8580954276921151,4.2042260962368765,2.0677768082392927,-3.7266618643768608
22,1661.338524349074,3.4964119275744316,0.28545083219058043,3.0231353921648747,4.71266492889162,1.9043164347938832,5.287743555859716,0.8682978548165989
23,1660.5426163328104,8.307955696028372,2.1545622774262974,3.3670752555984595,3.5884928866766845,1.9377167407729878,7.653294689524197,-4.415602534848088
